title,titre original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,pays_d_origine,nombre_de_saisons,nombre_d_episodes
"
Ni una más ",,"3,9",,Drame,"
Depuis 2024
","
45 min
","À 17 ans, Alma en a bientôt fini avec le lycée. Elle connaît depuis l'enfance ses amies Greta et Nata avec qui elle partage tout, des sorties aux ennuis typiques de leur âge : le sentiment d'exclusion, la jalousie, les problèmes avec les parents et même les relations toxiques. Mais quand le profil @Iam_colemanmiller publie sur les réseaux sociaux une photo avec la légende : ""Ça, c'était moi avant qu'on me viole"", plus rien ne semble normal et tout bascule. Comment et quand cette agression s'est-elle produite ? Qui se cache derrière ce profil ? Cette allégation est-elle vraie et si oui, qui en est la victime ?","Nicole Wallace,Clara Galle,Ivan Massagué",, Espagne,1 Saison,8 Episodes
"
Star Wars : The Acolyte ",Star Wars: The Acolyte,"3,3","1,9","Aventure,Science Fiction,Thriller","
Depuis 2024
","
60 min
","Alors que l’Ordre Jedi est à son apogée et que la prospérité règne dans la Haute République, plusieurs crimes mystérieux sont perpétrés. Un maître Jedi respecté va mener une enquête qui va l’opposer à une dangereuse guerrière issue de son passé. Au fur et à mesure que de nouveaux indices apparaissent, tous deux s'engagent sur un chemin obscur où des forces sinistres vont leur montrer que tout n'est pas toujours ce qu'il semble être...","Amandla Stenberg,Jung-jae Lee,Charlie Barnett",Leslye Headland, U.S.A.,1 Saison,8 Episodes
"
Becoming Karl Lagerfeld ",,"4,0","4,0","Biopic,Drame","
Depuis 2024
","
43 min
","En 1972, Karl Lagerfeld, 38 ans, ambitionne de devenir le couturier français le plus reconnu à une époque où Yves Saint Laurent est la figure incontestée de la mode. Tandis qu’il fait la rencontre de Jacques de Bascher, jeune dandy dont il s’éprend, Lagerfeld se mesure à Saint Laurent et Pierre Bergé, à la tête de la plus prestigieuse maison de couture. Entre rivalités de clans et conflits d'egos, fêtes et décadence, amours tragiques et amitiés grandioses, découvrez l'histoire du Kaiser Karl, celle d’une quête éperdue de reconnaissance.","Daniel Brühl,Alex Lutz,Théodore Pellerin","Isaure Pisani-Ferry,Jennifer Have", France,1 Saison,6 Episodes
"
Nightmares and Daydreams par Joko Anwar ",Joko Anwar's Nightmares And Daydreams,"2,5",,"Science Fiction,Thriller","
Depuis 2024
","
50 min
",Plongez dans un monde de phénomènes surnaturels et de science-fiction avec ces sept histoires troublantes imaginées par le scénariste et réalisateur Joko Anwar.,,Joko Anwar, Indonésie,1 Saison,7 Episodes
"
Mary & George ",,"3,8","3,2","Biopic,Drame,Historique","
2024
","
52 min
","L'histoire vraie et scandaleuse de Mary Villiers, comtesse de Buckingham, qui, dans l'Angleterre du XVIIè siècle, a utilisé son fils George afin qu'il séduise le roi Jacques Ier et devienne son amant tout-puissant. À force d’intrigues, la famille Villiers est devenue la plus titrée et la plus influente que la cour d’Angleterre ait jamais connue. ","Julianne Moore,Nicholas Galitzine,Tony Curran",D.C. Moore," Grande-Bretagne, U.S.A.",1 Saison,7 Episodes
"
Eric ",,"3,8","3,6","Drame,Thriller","
2024
","
60 min
","New York, années 1980. Après la disparition d'Edgar, son fils de neuf ans, sur le chemin de l'école, Vincent se lance dans des recherches désespérées. Considéré comme l'un des meilleurs marionnettistes de la Big Apple, créateur d'une émission pour enfants très populaire, Vincent essaie de supporter l'absence de son fils, mais rongé par le chagrin, peu à peu il perd pied. Dégoûté de lui-même et accablé par la culpabilité, il s'accroche à Eric, une marionnette dessinée par Edgar, convaincu de pouvoir porter ce personnage de monstre bleu à l'écran quand son fils reviendra. Alors que le comportement de plus en plus destructeur de Vincent l'éloigne de sa famille, de ses collègues et des enquêteurs qui essaient de l'aider, Eric, une illusion née de la nécessité, devient son seul allié dans sa quête pour retrouver son fils.","Benedict Cumberbatch,Gaby Hoffmann,Jeff Hephner",Abi Morgan, Grande-Bretagne,1 Saison,6 Episodes
"
Présumé innocent ",Presumed Innocent,"3,8","3,6","Drame,Thriller","
Depuis 2024
","
60 min
",Un brillant procureur se retrouve tout à coup accusé du meurtre d'une jeune et ambitieuse collègue avec laquelle il vient d'avoir une liaison passionnelle.,"Jake Gyllenhaal,Ruth Negga,Bill Camp",David E. Kelley, U.S.A.,1 Saison,8 Episodes
"
Vikings: Valhalla ",,"3,4","3,1","Action,Drame,Historique","
Depuis 2022
","
52 min
","100 ans après les premiers vikings, l'histoire de leurs descendants, parmi lesquels les légendaires Leif Erikson, Freydis, Harald Harada et William Le Conquérant, des hommes et des femmes prêts à tout pour survivre dans une Europe en pleine mutation... ,Spin-off de ,.","Sam Corlett,Sam Corlett,Frida Gustavsson",Jeb Stuart, U.S.A.,3 Saisons,24 Episodes
"
The Boys ",,"3,6","4,4","Action,Drame,Science Fiction","
Depuis 2019
","
60 min
","Dans un monde fictif où les super-héros se sont laissés corrompre par la célébrité et la gloire et ont peu à peu révélé la part sombre de leur personnalité, une équipe de justiciers qui se fait appeler ""The Boys"" décide de passer à l'action et d'abattre ces super-héros autrefois appréciés de tous.","Karl Urban,Karl Urban,Jack Quaid",Eric Kripke, U.S.A.,5 Saisons,40 Episodes
"
Game of Thrones: House of the Dragon ",,"3,5","4,2","Drame,Fantastique","
Depuis 2022
","
60 min
","L'histoire de la famille Targaryen, près de 200 ans avant les événements de ""Game Of Thrones"". Alors que le Roi Viserys règne sur Westeros, la question de sa succession inquiète. Sans progéniture mâle, qui prendra sa suite ? Avec pas moins de 10 dragons adultes sous leur contrôle, les Targaryen dominent le Royaume des Sept Couronnes depuis fort longtemps. La seule puissance capable de les renverser est la Maison Targaryen elle-même. Les tensions, trahisons et jalousies qui secouent le clan en interne leur seront-elles fatales ?","Matt Smith (XI),Emma D'Arcy,Olivia Cooke","George R.R. Martin,Ryan J. Condal", U.S.A.,3 Saisons,18 Episodes
