acteurs,annee,description,duree,genre,nombreDeSaisons,nombreEpisodes,paysOrigine,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Allison Tolman,Lana Parrilla,B.K. Cannon",2019 - 2021,"Les vies de trois femmes vivant à trois époques différentes alors qu'elles font face à l'infidélité dans leur mariage respectif. Si le rôle des femmes a évolué dans la société, leur réaction est toujours la même : un profond désir de vengeance. Dans les années 60, Beth Ann, femme au foyer, attend sagement son mari le soir alors qu'il la trompe avec une serveuse. Dans les années 80, Simone, une working girl, découvre que son mari la trompe... avec un homme. De nos jours, Taylor, bisexuelle, s'essaye au couple libre non sans difficultés...",48 min,"Comédie,Drame",2 Saisons,20 Episodes, U.S.A.,Marc Cherry,"3,1","4,0",Why Women Kill,
"Tom Welling,Erica Durance,Justin Hartley",2001 - 2011,"Dans une petite bourgade qui a connu une pluie de météorites quelques années plus tôt, le jeune Clark Kent est élevé par une famille de fermiers. Contraint de cacher ses pouvoirs exceptionnels, il va apprendre à les utiliser pour aller au secours de son prochain.",42 min,"Action,Drame,Science Fiction",10 Saisons,218 Episodes," U.S.A., Canada","Alfred Gough,Miles Millar","3,2",,Smallville,
"Sabrina Ouazani,Mathieu Spinosi,Jérôme Robart",2020 - 2023,"Clément, 33 ans, a passé l'essentiel de sa vie dans un monastère et s'apprête à prononcer ses vœux. Mais son mentor, Frère Benoit, est assassiné. Elli Taleb, jeune capitaine de police et surtout totalement athée, est chargée de l’enquête. Le choc de deux mondes qui n’étaient pas appelés à se rencontrer...",90 min,Policier,1 Saison,6 Episodes, France,"Marie Deshaires,Catherine Touzet","3,0","3,7",Prière d'enquêter,
"Alan Tudyk,Alan Tudyk,Sara Tomko",Depuis 2021,"Après s'être posé en catastrophe sur Terre, un alien nommé Harry prend l'identité du docteur d'une petite ville du Colorado. Petit à petit, il s'interroge au sujet de la mission secrète qu'il est censé accomplir sur Terre, en venant même à se demander si les humains méritent d'être sauvés... , ",45 min,"Comédie,Drame,Science Fiction",4 Saisons,34 Episodes, U.S.A.,Chris Sheridan,"4,0",,Resident Alien,
"Nicole Kidman,Melissa McCarthy,Michael Shannon",Depuis 2021,"Neuf personnes qui ne se connaissent pas sont réunies dans un centre de remise en forme pendant 10 jours, certains pour perdre du poids, d'autres pour prendre du repos. Chacun est prêt à se donner à fond pour atteindre son but, mais tout va devenir beaucoup plus compliqué que prévu...",60 min,"Drame,Thriller",2 Saisons,16 Episodes, U.S.A.,"David E. Kelley,John-Henry Butterworth","2,7","3,3",Nine Perfect Strangers,
"So-Hee Han,Ahn Bo Hyun,Sang-ho Kim",2021,"Motivée par la vengeance, une femme rejoint un réseau criminel et devient une policière infiltrée afin de trouver le meurtrier de son père.",50 min,"Action,Thriller",1 Saison,8 Episodes, Corée du Sud,Kim Jin-min,"4,3",,My Name,
,7 juillet 2024 sur Tokyo MX,"Après avoir surmonté la menace du dragon Acnologia et du mage noir Zeleph, Fairy Tail est devenue plus forte et plus énergique que jamais. Malgré cette victoire, certains membres de la guilde ont décidé de participer à la fameuse Quête de 100 ans qu'aucun mage n'a réussi à achever au cours de ces derniers siècles. Même Gildarts, le mage le plus puissant de la guilde, a échoué. Mais Natsu en est sûr : il réussira, car il n'y va pas seul mais avec ses compagnons.",24 min,"Aventure,Animation,Fantastique",1 Saison,, Japon,,,,Fairy Tail : 100 Years Quest,Fairy Tail: Hyaku-nen Quest
"Mohammed Amer,Teresa Ruiz,Omar Elba",Depuis 2022,"À cheval sur deux cultures, Mo Najjar parle trois langues et ne compte plus les vexations subies en tant que réfugié palestinien espérant obtenir la citoyenneté américaine. Accompagné de sa mère croyante et endurante, de sa sœur et de son frère aîné, il trouve refuge à Houston, au Texas. Usant de l'humour pour dissiper la douleur, Mo apprend à s'adapter à son nouveau monde, même si aller de l'avant n'est pas toujours un long fleuve tranquille.",30 min,"Comédie,Drame",2 Saisons,16 Episodes, U.S.A.,"Mohammed Amer,Ramy Youssef","4,0",,Mo,
"Toby Jones,David Morrissey,Daniel Mays",2023,"De 1975 à 1981, dans le Yorkshire et le nord-ouest de l’Angleterre, Peter Sutcliffe a tué treize femmes avant d’être arrêté, au terme de la plus grande chasse à l’homme de l’histoire de la police britannique. Cette série true crime glaçante se concentre sur la vie des victimes du serial killer et leurs proches, et aussi celle des enquêteurs.",52 min,"Policier,Drame",1 Saison,7 Episodes, Grande-Bretagne,George Kay,"4,1","3,5",The Long Shadow,
"Kev Adams,William Lebghil,Gaël Cottat",2011 - 2015,"Fils aîné d’une famille de classe moyenne et martyrisé par sa petite soeur, la démoniaque Ève, Adam, lycéen de 18 ans, est comme la majorité des ados, un glandeur professionnel dont le principal passe-temps est de se laisser vivre. Grande gueule et frimeur devant ses potes et sa famille, il l’est beaucoup moins devant Jenna, la bombe du lycée avec laquelle il veut sortir… Face à ses angoisses et ses rêves d’ado, il doit affronter son plus grand défi : le monde des adultes… et les meufs !",3 min,Comédie,4 Saisons,2 Episodes, France,Frank Bellocq,"2,5",,Soda,
