acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Devon Bostick,Robert De Niro,Greg Kinnear",16 juin 2004,"Traumatisés par l'assassinat de leur fils Adam le jour de ses huit ans, Jessie et Paul se tournent vers le docteur Richard Wells pour tenter l'impossible. Dans une tentative désespérée pour retrouver en vie leur enfant, le couple fait appel à la recherche génétique et parvient à obtenir un clone. Pour eux, le miracle semble acquis et le ""nouvel"" Adam grandit, heureux, jusqu'à son huitième anniversaire...",102,"Drame,Epouvante-horreur,Science Fiction",Anglais," U.S.A., Canada",,Nick Hamm,"2,1","1,7","Godsend, expérience interdite",Godsend
"Keira Knightley,Ralph Fiennes,Charlotte Rampling",12 novembre 2008,"Fin du XVIIIe siècle, en Angleterre. Comme Lady Diana, dont elle est l'ancêtre, Georgiana, Duchesse du Devonshire, est une femme belle, charismatique, et adulée par la population. Mariée au richissime Duc, elle est contrainte d'accepter un ménage à trois avec la maîtresse de celui-ci, Bess, qui est aussi sa meilleure amie... Insatisfaite, elle s'engage dans la vie publique en faisant campagne pour le parti libéral et en luttant pour les droits des femmes. C'est ainsi qu'elle s'éprendra du futur premier ministre Charles Grey...",110,"Biopic,Drame,Historique",-, Grande-Bretagne,,Saul Dibb,"3,4","3,6",The Duchess,
"Christian Bale,Margot Robbie,John David Washington",1 novembre 2022,L'histoire de trois amis proches qui se retrouvent au centre de l’une des intrigues parmi les plus secrètes et choquantes de l'histoire américaine.,134,"Policier,Drame,Thriller",-, U.S.A.,,David O. Russell,"2,9","2,8",Amsterdam,
"Sabrina Levoye,Teïlo Azaïs,Jean-Pierre Lorit",4 janvier 2023,"Nora et Léo se rencontrent le jour de la rentrée en classe de Seconde. Leurs regards s’enchâssent et tout est dit. Le frère de Nora, manutentionnaire à l’hypermarché local, est accusé de vol et viré sur-le-champ. Le directeur de l’hypermarché c’est Franck, le père de Léo. Les deux familles s’affrontent, les différences s’exacerbent et le chaos s’installe. Les vies de Nora et Léo s’embrasent.",94,"Drame,Romance",-, France,,Philippe Lioret,"3,2","3,6",16 ans,
"Karina Testa,Samuel Le Bihan,Estelle Lefebure",23 janvier 2008,"Alors que l'extrême droite est sur le point d'arriver au pouvoir, de jeunes banlieusards commettent un braquage. Poursuivis par des flics hargneux, les membres de la bande dépassent la ""frontière"" de leur propre violence. Ils s'enfuient en voiture et débarquent dans une auberge perdue en pleine forêt, à la limite de la ""frontière"" luxembourgeoise.",108,"Epouvante-horreur,Thriller","Français, Allemand"," France, Suisse",Interdit - 16 ans,Xavier Gens,"2,1","2,2",Frontière(s),
"Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson",3 octobre 2018,"Après la mort de son épouse lors d'une violente agression qui l'a laissé paralysé, Grey Trace est approché par un inventeur milliardaire qui propose de lui administrer un remède expérimental qui va ""upgrader"" son corps et ses facultés. Désormais doté d'un implant fonctionnant à l'intelligence artificielle, Grey voit ses capacités physiques décuplées et se lance dans une mission vengeresse, afin de faire payer ceux qui ont tué sa femme.",100,"Science Fiction,Thriller",-, Australie,Interdit - 12 ans,Leigh Whannell,"3,5","4,0",Upgrade,
"Natalie Portman,Mila Kunis,Vincent Cassel",9 février 2011,Rivalités dans la troupe du New York City Ballet. Nina est prête à tout pour obtenir le rôle principal du ,103,"Drame,Thriller",-, U.S.A.,"Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Darren Aronofsky,"4,2","4,1",Black Swan,
"Robert De Niro,Sharon Stone,Joe Pesci",13 mars 1996,"En 1973, Sam Ace Rothstein est le grand manitou de la ville de toutes les folies, Las Vegas. Il achète et épouse une virtuose de l’arnaque, Ginger Mc Kenna, qui sombre bien vite dans l’alcool et la drogue. Mais un autre ennui guette Sam, son ami d’enfance Nicky Santoro, qui entreprend de mettre la ville en coupe réglée…",178,"Policier,Drame",Anglais," U.S.A., France",Interdit - 12 ans,Martin Scorsese,"4,4","4,3",Casino,
"Alexandra Lamy,Muriel Robin,Hugo Questel",15 mars 2023,"La vie toute tracée de Thelma prend un détour tragique lorsqu’un accident plonge son fils Louis, 12 ans, dans le coma. Déterminée à le réveiller par tous les moyens, elle va faire le pari fou d’accomplir une par une les « 10 choses à faire avant la fin du monde » qu’il avait inscrites dans son journal intime, pour lui montrer tout ce que la vie a de magnifique à lui offrir. Mais ce voyage dans les rêves de son adolescent l’emmènera bien plus loin que ce qu’elle imaginait... jusqu’à raviver son propre goût à la vie.",99,Drame,-, France,,Lisa Azuelos,"3,5","3,8",La Chambre des merveilles,
"Linda Blair,Ellen Burstyn,Max von Sydow",11 septembre 1974,"L'actrice Chris McNeil est inquiète au sujet de sa fillette Regan : après que l'on ait entendu des bruits curieux venant de sa chambre, la petite a changé, proférant de constantes insanités. Une force para-normale l'habite, qui coûte la vie au metteur en scène de Chris. Désespérée, cette dernière fait appel à deux exorcistes...",121,Epouvante-horreur,-, U.S.A.,Interdit - 12 ans,William Friedkin,"3,3","4,0",L'Exorciste,The Exorcist
"Camila Mendes,Archie Renaux,Marisa Tomei",9 février 2024,"Ana est une stagiaire ambitieuse qui rêve d'une carrière dans le monde de l'art tout en essayant d'impressionner son exigeante patronne Claire. Lorsqu'elle est surclassée en première classe lors d'un voyage d'affaires, elle rencontre le beau Will, qui confond Ana avec sa patronne - un mensonge blanc qui déclenche une chaîne d'événements glamour, de romances et d'opportunités, jusqu'à ce que ses mensonges menacent de remonter à la surface.",104,"Comédie,Romance",-, U.S.A.,,Carlson Young,"2,9",,Surclassée,Upgraded
"Leon Robinson,Doug E. Doug,John Candy",13 avril 1994,L'histoire véridique de quatre Jamaïcains qui ont un rêve fou : obtenir une médaille d'or dans une discipline olympique qui leur est totalement inconnue et impossible à pratiquer chez eux : le bobsleigh !,108,"Aventure,Comédie",-, U.S.A.,,Jon Turteltaub,"3,0","3,8",Rasta Rockett,Cool Runnings
"Colin Farrell,Nicole Kidman,Kirsten Dunst",23 août 2017,"En pleine guerre de Sécession, dans le Sud profond, les pensionnaires d'un internat de jeunes filles recueillent un soldat blessé du camp adverse. Alors qu'elles lui offrent refuge et pansent ses plaies, l'atmosphère se charge de tensions sexuelles et de dangereuses rivalités éclatent. Jusqu'à ce que des événements inattendus ne fassent voler en éclats interdits et tabous.",93,Drame,-, U.S.A.,,Sofia Coppola,"3,0","2,6",Les Proies,The Beguiled
